	src	dest	pathway	source	type	src_tf	dest_tf	species
FN1_ITGB7	FN1	ITGB7	ECM-receptor interaction	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB7	FN1	ITGB7	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB7	FN1	ITGB7	Human papillomavirus infection	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB8	FN1	ITGB8	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB8	FN1	ITGB8	Focal adhesion	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB8	FN1	ITGB8	ECM-receptor interaction	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB8	FN1	ITGB8	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Human
FN1_ITGB8	FN1	ITGB8	Human papillomavirus infection	KEGG	Process(activation)	NO	NO	Human
FN1_SDC2	FN1	SDC2	Proteoglycans in cancer	KEGG	Process(activation)	NO	NO	Human
FSHB_ADCYAP1R1	FSHB	ADCYAP1R1	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
FSHB_FSHR	FSHB	FSHR	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
FSHB_FSHR	FSHB	FSHR	Neuroactive ligand-receptor interaction	KEGG	Process(activation)	NO	NO	Human
FSHB_FSHR	FSHB	FSHR	Ovarian steroidogenesis	KEGG	Process(activation)	NO	NO	Human
FSHB_TSHR	FSHB	TSHR	cAMP signaling pathway	KEGG	Process(activation)	NO	NO	Human
Fasl_Fas	Fasl	Fas	Platinum drug resistance	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Cytokine-cytokine receptor interaction	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Apoptosis	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Necroptosis	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Natural killer cell mediated cytotoxicity	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Non-alcoholic fatty liver disease (NAFLD)	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Type I diabetes mellitus	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Chagas disease (American trypanosomiasis)	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	African trypanosomiasis	KEGG	Process(activation),Process(binding/association)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Hepatitis C	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Hepatitis B	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Measles	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Human cytomegalovirus infection	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Influenza A	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Human papillomavirus infection	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Herpes simplex virus 1 infection	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Human immunodeficiency virus 1 infection	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Proteoglycans in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Autoimmune thyroid disease	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Allograft rejection	KEGG	Process(activation)	NO	NO	Mouse
Fasl_Fas	Fasl	Fas	Graft-versus-host disease	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr1	Fgf10	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr2	Fgf10	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf10_Fgfr3	Fgf10	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Signaling Pathways	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Signaling by FGFR	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr1	Fgf15	Fgfr1	Signaling by Receptor Tyrosine Kinases	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Signaling Pathways	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Signaling by FGFR	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr2	Fgf15	Fgfr2	Signaling by Receptor Tyrosine Kinases	Reactome	Control(indirect)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr3	Fgf15	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf15_Fgfr4	Fgf15	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Signaling Pathways	Reactome	Control(indirect)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Signaling by FGFR	Reactome	Control(indirect)	NO	NO	Mouse
Fgf16_Fgfr1	Fgf16	Fgfr1	Signaling by Receptor Tyrosine Kinases	Reactome	Control(indirect)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr2	Fgf16	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr3	Fgf16	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf16_Fgfr4	Fgf16	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr1	Fgf17	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr2	Fgf17	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr3	Fgf17	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf17_Fgfr4	Fgf17	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Signaling Pathways	Reactome	Control(indirect)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Signaling by FGFR	Reactome	Control(indirect)	NO	NO	Mouse
Fgf18_Fgfr1	Fgf18	Fgfr1	Signaling by Receptor Tyrosine Kinases	Reactome	Control(indirect)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr2	Fgf18	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr3	Fgf18	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf18_Fgfr4	Fgf18	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr1	Fgf1	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr2	Fgf1	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr3	Fgf1	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf1_Fgfr4	Fgf1	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Melanoma	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr1	Fgf20	Fgfr1	Breast cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr2	Fgf20	Fgfr2	Gastric cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr3	Fgf20	Fgfr3	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	PI3K-Akt signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	Regulation of actin cytoskeleton	KEGG	Process(activation)	NO	NO	Mouse
Fgf20_Fgfr4	Fgf20	Fgfr4	Pathways in cancer	KEGG	Process(activation)	NO	NO	Mouse
Fgf21_Fgfr1	Fgf21	Fgfr1	MAPK signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf21_Fgfr1	Fgf21	Fgfr1	Ras signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
Fgf21_Fgfr1	Fgf21	Fgfr1	Rap1 signaling pathway	KEGG	Process(activation)	NO	NO	Mouse
